date,text,Pump,Exchange,Coin,Notes
2020-08-12T08:46:37,"[{'type': 'hashtag', 'text': '#VET'}, ' hit 224✅']",,,,
2020-08-12T08:47:00,"[{'type': 'hashtag', 'text': '#VET'}, ' now hit 236✅✅\n\n', {'type': 'bold', 'text': '67% profit using 5x leverage so far '}, '💰💰💰🤑🤑']",,,,
2020-08-12T08:47:31,"[{'type': 'hashtag', 'text': '#VET'}, ' result \n2nd target achieved within 2 hour✅✅\n\n', {'type': 'bold', 'text': 'One more huge quick profit 67% using 5x leverage 💰'}, '💰🤑🤑\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn huge with us']",,,,
2020-08-12T08:47:46,"[{'type': 'hashtag', 'text': '#vet'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-12T08:48:16,,,,,
2020-08-12T08:49:01,"[{'type': 'hashtag', 'text': '#QTUM'}, ' hit 2234🎯\nNow 3rd target achieved ✅✅✅\n\n', {'type': 'bold', 'text': 'Huge profit 109% using 5x leverage '}, '💰💰🤑🤑\n\n👉 Join premium and earn huge with us 💰💰🤑🤑👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-12T08:49:17,We posted Qtum in public channel still 1964 now 3rd target achieved✅✅✅,,,,
2020-08-12T08:50:03,"[{'type': 'hashtag', 'text': '#QTUM'}, ' hit 2378🎯\nFinally all target achieved ✅✅✅✅\n\n', {'type': 'bold', 'text': 'Huge profit 149% using 5x leverage in just 5 days '}, '💰💰🤑🤑\n\n👉 Join premium and earn huge with us 💰💰🤑🤑👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-12T08:50:23,We posted Qtum in public channel still 1964 now all targets achieved✅✅✅✅,,,,
2020-08-12T08:50:31,,,,,
2020-08-12T08:50:42,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more huge quick rofit for premium members within 3 days 💰👇'}, '']",,,,
2020-08-12T08:50:54,"[{'type': 'hashtag', 'text': '#RDN'}, '\nBuy zone ', {'type': 'phone', 'text': '2100-2225'}, '\nSell zone 2300-2400-2650-2850+']",,,,
2020-08-12T08:50:56,"[{'type': 'hashtag', 'text': '#RDN'}, ' hit 2798✅✅✅']",,,,
2020-08-12T08:51:26,"[{'type': 'hashtag', 'text': '#RDN'}, ' hit 2798🎯\nNow 3rd target achieved within 3 days✅✅✅\n\n', {'type': 'bold', 'text': 'Huge quick profit 29%💰💰🤑'}, '🤑\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn huge with us']",,,,
2020-08-12T08:51:42,"[{'type': 'hashtag', 'text': '#rdn'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
